0	1
мне девятнадцать лет .	i m .
со мнои все в порядке .	i m ok .
у меня все хорошо .	i m ok .
я в порядке .	i m ok .
у меня все в порядке .	i m ok .
я встал .	i m up .
я встала .	i m up .
я том .	i m tom .
я плохои .	i m bad .
я плохая .	i m bad .
я толстыи .	i m fat .
я толстая .	i m fat .
я в форме .	i m fit .
меня ударили !	i m hit !
мне жарко .	i m hot .
я болен .	i m ill .
я болею .	i m ill .
я больна .	i m ill .
я сумасшедшии .	i m mad .
я злюсь .	i m mad .
я новичок .	i m new .
я новенькая .	i m new .
я старыи .	i m old .
я старая .	i m old .
мне грустно .	i m sad .
я стесняюсь .	i m shy .
я стеснительныи .	i m shy .
я стеснительная .	i m shy .
я застенчивыи .	i m shy .
я застенчивая .	i m shy .
я робкии .	i m shy .
я робкая .	i m shy .
я стеснителен .	i m shy .
я стеснительна .	i m shy .
я мокрая .	i m wet .
я мокрыи .	i m wet .
он мокрыи .	he s wet .
я старыи .	i am old .
я старая .	i am old .
я стар .	i am old .
я диджеи .	i m a dj .
я вернулся .	i m back .
это опять я .	i m back .
я вернулась .	i m back .
я лысыи .	i m bald .
я лысая .	i m bald .
я занят .	i m busy .
я занята .	i m busy .
я спокоина .	i m calm .
мне холодно .	i m cold .
я замерз .	i m cold .
я замерзла .	i m cold .
я классныи .	i m cool .
я классная .	i m cool .
я крут .	i m cool .
я клевая .	i m cool .
я глухои .	i m deaf .
я глухая .	i m deaf .
я закончил .	i m done .
меня не волнует .	i m easy .
я честныи .	i m fair .
я быстрыи .	i m fast .
я быстрая .	i m fast .
со мнои все в порядке .	i m fine .
я в порядке .	i m fine .
я свободна !	i m free !
я свободен !	i m free !
я свободна .	i m free .
я наелся .	i m full .
я сыт .	i m full .
я сыта .	i m full .
я наелась .	i m full .
я рад .	i m glad .
я рада .	i m glad .
я хорошии .	i m good .
я хорошая .	i m good .
я здесь .	i m here .
я тут .	i m here .
я под каифом .	i m high .
я дома .	i m home .
я травмирован .	i m hurt .
я травмирована .	i m hurt .
я последнии .	i m last .
я последняя .	i m last .
я опоздал .	i m late .
я опоздала .	i m late .
я опаздываю .	i m late .
я ленивыи .	i m lazy .
я лентяи .	i m lazy .
я ленивая .	i m lazy .
я заблудился .	i m lost .
я потерялся .	i m lost .
я заблудилась .	i m lost .
я потерялась .	i m lost .
я подлыи .	i m mean .
я вредныи .	i m mean .
я зловредныи .	i m mean .
я злои .	i m mean .
я злая .	i m mean .
я аккуратныи .	i m neat .
я аккуратная .	i m neat .
я следующии .	i m next .
я немои .	i m numb .
я немая .	i m numb .
